episode_reward,moving_avg
-61.56727850437164,-87.65558517873288
-106.56558644771576,-92.09607174992561
-113.93412905931473,-92.63887971639633
-58.02929696440697,-87.61445178091526
-107.9122104048729,-87.46786249578
-109.05672508478165,-92.74422495365143
-113.62339091300964,-96.72826887369156
-75.63190653920174,-97.50421090722084
-125.78196978569031,-97.97375989556312
-92.5725083053112,-96.46750020086765
-114.26942151784897,-101.73771450221538
-80.51154243946075,-99.13231010138989
-57.96101871132851,-93.53499906659127
-94.01743048429489,-97.13381241858005
-111.5680181980133,-97.4993931978941
-113.75200617313385,-97.96892130672931
-121.00928086042404,-98.70751030147076
-108.21112358570099,-101.96543200612068
-111.02559465169907,-100.48979449272156
-52.384011417627335,-96.47094480395317
-108.18412989377975,-95.86241564154625
-87.57242619991302,-96.56850401759148
-71.98198851943016,-97.97060099840164
-105.07367604970932,-99.07622555494308
-87.90879917144775,-96.71030365228653
-76.15528506040573,-92.95063154101372
-103.03983390331268,-91.15368684530259
-70.32740533351898,-87.36531502008438
-73.75441181659698,-83.63819673657417
-50.29070794582367,-83.4288663893938
-50.804341584444046,-77.69088755846023
-93.28004705905914,-78.26164964437484
-50.15842255949974,-76.0792930483818
-125.27215510606766,-78.09914095401764
-114.19864803552628,-80.72812584042549
-126.44126564264297,-85.75672389864921
-86.64759615063667,-84.11750012338162
-68.40096747875214,-83.92485633790493
-78.48838329315186,-84.39825348556042
-49.53282177448273,-84.32246486842632
-94.32832622528076,-88.67486333251
-118.60657149553299,-91.20751577615738
-89.22231274843216,-95.11390479505062
-108.6375100016594,-93.4504402846098
-59.83817872405052,-88.01439335346222
-130.58382087945938,-88.42864887714386
-97.24028438329697,-89.4879177004099
-65.87032580375671,-89.23485353291035
-82.24863788485527,-89.61087899208069
-84.80018353462219,-93.13761516809464
-95.01926916837692,-93.20670946240425
-60.24590674042702,-87.37064298689366
-84.51031130552292,-86.89944284260272
-51.10096850991249,-81.14578869342805
-79.18301475048065,-83.08027229607106
-91.8152027130127,-79.20341047942638
-63.03956678509712,-75.7833387196064
-70.40304806828499,-76.23661094605923
-73.17833095788956,-75.32958025336265
-66.40817871689796,-73.49037977159023
-63.77829560637474,-70.36628241539002
-57.621099203825,-70.10380166172982
-64.60448631644249,-68.11321916282176
-49.899578273296356,-67.99308013916016
-89.1557531952858,-68.99035398364067
-76.80413228273392,-67.48924694061279
-57.28593945503235,-66.91388420760632
-96.32794320583344,-69.50637372136116
-89.24511805176735,-71.11305243074894
-61.873476684093475,-70.65958222746849
-73.79773360490799,-71.66152602732181
-79.3774226307869,-73.837158370018
-67.61872518062592,-74.13858225643635
-60.568667620420456,-75.20549119114875
-89.76553508639336,-75.26646938025951
-74.13208383321762,-74.99926453530789
-63.50565654039383,-75.62123624384404
-80.33778858184814,-74.0222207814455
-93.52192315459251,-74.44990129172803
-72.30030959844589,-75.49258458316326
-83.81089982390404,-76.49390120506287
-57.920886158943176,-74.3482475578785
-47.412464529275894,-72.32762149274349
-55.574621587991714,-71.82821688950062
-64.41229763627052,-69.29289314448833
-54.03813251852989,-67.28349801301957
-41.524791836738586,-65.08541154265404
-74.75061187148094,-64.52669387161731
-94.8108845949173,-64.65559001564979
-57.61716401576996,-63.1872754573822
-46.11128211021423,-59.41731368601322
-41.27211704850197,-57.7524367749691
-57.07912787795067,-58.71910310983658
-71.16976097226143,-60.27861704826355
-54.238473773002625,-59.26123466193676
-92.44586491584778,-63.10200790166855
-68.10516881942749,-65.76004559993744
-59.782829850912094,-64.26326739788055
-44.46638381481171,-59.22881731987
-39.05468848347664,-57.372569766640666
-65.56205824017525,-59.31764737963677
-61.84913247823715,-61.375348922610286
-84.45214557647705,-64.11265069246292
-55.00445610284805,-62.496120205521585
-73.39242547750473,-64.41151537597179
-37.54585446417332,-58.92151433080435
-77.11538371443748,-59.82253582030535
-45.01986673474312,-58.34623950868845
-75.04948171973228,-61.40454929918051
-77.30465716123581,-65.22954616695642
-57.32814636826515,-64.40615497976542
-48.05825152993202,-63.027066884934904
-61.973821729421616,-60.77923450022936
-59.44528594613075,-61.223317484557626
-57.189978182315826,-59.60307275503874
-54.3776957988739,-61.286256888508795
-53.763479828834534,-58.9510664999485
-55.020953595638275,-59.951175186038014
-89.61215448379517,-61.40744246244431
-45.07785522937775,-58.1847622692585
-73.54791340231895,-59.80673897266388
-83.48888930678368,-63.34980275034904
-80.21564704179764,-65.17398528158665
-84.94623184204102,-67.72407987117768
-76.63119757175446,-69.66820181012153
-55.003717213869095,-69.73080395162106
-42.8387576341629,-68.63833173215389
-65.94130262732506,-69.73036663532257
-74.89986002445221,-68.25913718938827
-59.20552450418472,-69.67190411686897
-46.870977103710175,-67.0042104870081
-76.36098718643188,-66.29142027497292
-41.51839643716812,-62.42169521450997
-46.88113197684288,-58.61518522799015
-62.961384654045105,-57.24820393621921
-59.81565114855766,-57.72939732968807
-45.64112401008606,-58.00963396728039
-72.6506969332695,-58.68057339787483
-80.432566344738,-59.23384402990341
